4bn1_opt_0084.pdb, 21.141, 9.941, 98.706
4bn1_opt_0057.pdb, 21.146, 9.871, 98.735
4bn1_opt_0074.pdb, 21.227, 9.838, 99.079
4bn1_opt_0020.pdb, 21.057, 9.683, 99.042
4bn1_opt_0083.pdb, 21.145, 9.892, 98.662
4bn1_opt_0088.pdb, 21.104, 9.779, 98.939
4bn1_opt_0072.pdb, 21.148, 9.879, 98.709
4bn1_opt_0098.pdb, 21.104, 9.779, 98.939
4bn1_opt_0029.pdb, 21.100, 9.731, 98.952
4bn1_opt_0068.pdb, 21.141, 9.941, 98.706
4bn1_opt_0005.pdb, 21.145, 9.892, 98.662
4bn1_opt_0033.pdb, 21.148, 9.879, 98.709
4bn1_opt_0079.pdb, 21.042, 9.820, 98.834
4bn1_opt_0027.pdb, 21.126, 9.984, 99.126
4bn1_opt_0046.pdb, 21.227, 9.838, 99.079
4bn1_opt_0052.pdb, 21.092, 10.055, 99.066
4bn1_opt_0077.pdb, 21.227, 9.838, 99.079
4bn1_opt_0016.pdb, 21.056, 9.820, 98.886
4bn1_opt_0069.pdb, 21.145, 9.892, 98.662
4bn1_opt_0056.pdb, 21.104, 9.779, 98.939
4bn1_opt_0087.pdb, 21.056, 9.820, 98.886
4bn1_opt_0082.pdb, 21.127, 9.935, 98.718
4bn1_opt_0035.pdb, 21.126, 9.984, 99.126
4bn1_opt_0004.pdb, 21.057, 9.683, 99.042
4bn1_opt_0073.pdb, 21.057, 9.683, 99.042
4bn1_opt_0061.pdb, 21.227, 9.838, 99.079
4bn1_opt_0054.pdb, 21.057, 9.683, 99.042
4bn1_opt_0076.pdb, 21.104, 9.779, 98.939
4bn1_opt_0059.pdb, 21.148, 9.879, 98.709
4bn1_opt_0089.pdb, 21.145, 9.892, 98.662
4bn1_opt_0044.pdb, 21.145, 9.892, 98.662
4bn1_opt_0023.pdb, 21.092, 10.055, 99.066
4bn1_opt_0094.pdb, 21.100, 9.731, 98.952
4bn1_opt_0067.pdb, 21.100, 9.731, 98.952
4bn1_opt_0030.pdb, 21.145, 9.892, 98.662
4bn1_opt_0043.pdb, 21.227, 9.838, 99.079
4bn1_opt_0007.pdb, 21.146, 9.871, 98.735
4bn1_opt_0013.pdb, 21.148, 9.879, 98.709
4bn1_opt_0064.pdb, 21.057, 9.683, 99.042
4bn1_opt_0011.pdb, 21.042, 9.820, 98.834
4bn1_opt_0092.pdb, 21.056, 9.820, 98.886
4bn1_opt_0096.pdb, 21.104, 9.779, 98.939
4bn1_opt_0034.pdb, 21.148, 9.879, 98.709
4bn1_opt_0038.pdb, 21.100, 9.731, 98.952
4bn1_opt_0022.pdb, 21.148, 9.879, 98.709
4bn1_opt_0085.pdb, 21.145, 9.892, 98.662
4bn1_opt_0049.pdb, 21.126, 9.984, 99.126
4bn1_opt_0002.pdb, 21.056, 9.820, 98.886
4bn1_opt_0058.pdb, 21.056, 9.820, 98.886
4bn1_opt_0040.pdb, 21.141, 9.941, 98.706
4bn1_opt_0097.pdb, 21.146, 9.871, 98.735
4bn1_opt_0100.pdb, 21.100, 9.731, 98.952
4bn1_opt_0001.pdb, 21.227, 9.838, 99.079
4bn1_opt_0018.pdb, 21.057, 9.683, 99.042
4bn1_opt_0050.pdb, 21.057, 9.683, 99.042
4bn1_opt_0014.pdb, 21.057, 9.683, 99.042
4bn1_opt_0039.pdb, 21.168, 9.897, 98.718
4bn1_opt_0070.pdb, 21.148, 9.879, 98.709
4bn1_opt_0081.pdb, 21.056, 9.820, 98.886
4bn1_opt_0053.pdb, 21.227, 9.838, 99.079
4bn1_opt_0041.pdb, 21.057, 9.683, 99.042
4bn1_opt_0055.pdb, 21.100, 9.731, 98.952
4bn1_opt_0086.pdb, 21.104, 9.779, 98.939
4bn1_opt_0095.pdb, 21.227, 9.838, 99.079
4bn1_opt_0015.pdb, 21.126, 9.984, 99.126
4bn1_opt_0021.pdb, 21.057, 9.683, 99.042
4bn1_opt_0060.pdb, 21.092, 10.055, 99.066
4bn1_opt_0009.pdb, 21.141, 9.941, 98.706
4bn1_opt_0090.pdb, 21.100, 9.731, 98.952
4bn1_opt_0093.pdb, 21.092, 9.917, 99.396
4bn1_opt_0003.pdb, 21.146, 9.871, 98.735
4bn1_opt_0037.pdb, 21.057, 9.683, 99.042
4bn1_opt_0065.pdb, 21.092, 10.055, 99.066
4bn1_opt_0071.pdb, 21.141, 9.941, 98.706
4bn1_opt_0099.pdb, 21.057, 9.683, 99.042
4bn1_opt_0025.pdb, 21.100, 9.731, 98.952
4bn1_opt_0091.pdb, 21.104, 9.779, 98.939
4bn1_opt_0042.pdb, 21.227, 9.838, 99.079
4bn1_opt_0008.pdb, 21.227, 9.838, 99.079
4bn1_opt_0031.pdb, 21.057, 9.683, 99.042
4bn1_opt_0078.pdb, 21.145, 9.892, 98.662
4bn1_opt_0028.pdb, 21.057, 9.683, 99.042
4bn1_opt_0019.pdb, 21.056, 9.820, 98.886
4bn1_opt_0032.pdb, 21.135, 9.915, 98.706
4bn1_opt_0045.pdb, 21.104, 9.779, 98.939
4bn1_opt_0051.pdb, 21.145, 9.892, 98.662
4bn1_opt_0006.pdb, 21.227, 9.838, 99.079
4bn1_opt_0075.pdb, 21.146, 9.897, 98.747
4bn1_opt_0066.pdb, 21.227, 9.838, 99.079
4bn1_opt_0024.pdb, 21.104, 9.779, 98.939
4bn1_opt_0047.pdb, 21.049, 9.987, 99.197
4bn1_opt_0012.pdb, 21.227, 9.838, 99.079
4bn1_opt_0017.pdb, 21.041, 9.658, 99.089
4bn1_opt_0062.pdb, 21.141, 9.941, 98.706
4bn1_opt_0048.pdb, 21.126, 9.984, 99.126
4bn1_opt_0063.pdb, 21.236, 9.899, 98.572
4bn1_opt_0026.pdb, 21.148, 9.879, 98.709
4bn1_opt_0080.pdb, 21.100, 9.731, 98.952
4bn1_opt_0010.pdb, 21.145, 9.892, 98.662
4bn1_opt_0036.pdb, 21.100, 9.731, 98.952
